Wi1,Wi2,Wi3,Wi5,DC Gain,ft,f3,Vcm,Pdiss,Is4,Gm6,Gm4,Wi4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Abs_Gain,Delay
2.10E-05,9.10E-05,1.10E-05,7.34E-06,22.6167,1.17E+07,859214,1.6,6.79E-05,1.13E-05,6.33E-04,0.000525233,1.10E-04,4.20E+01,1.82E+02,2.20E+01,2.20E+02,1.47E+01,13.51558973,0.00253906
0.0001,1.10E-05,9.10E-05,6.83E-05,22.6177,8.41E+06,591488,0.8,6.28E-05,9.96E-06,4.55E-04,0.000171388,2.92E-05,2.00E+02,2.20E+01,1.82E+02,5.84E+01,1.37E+02,13.51714585,0.000488281
1.00E-06,5.10E-05,1.10E-05,1.30E-05,22.6419,6.19E+06,457592,0.8,7.11E-05,9.06E-06,3.35E-04,0.000351902,4.85E-05,2.00E+00,1.02E+02,2.20E+01,9.70E+01,2.60E+01,13.55485886,0.00148437
1.00E-06,5.10E-05,1.10E-05,1.29E-05,22.6635,7.63E+06,561315,1.6,8.50E-05,1.09E-05,4.13E-04,0.000385144,5.46E-05,2.00E+00,1.02E+02,2.20E+01,1.09E+02,2.58E+01,13.58860893,0.00148926
5.10E-05,8.10E-05,1.10E-05,8.22E-06,22.6767,1.42E+07,1.04E+06,1.6,7.17E-05,1.14E-05,7.68E-04,0.000497463,1.25E-04,1.02E+02,1.62E+02,2.20E+01,2.50E+02,1.64E+01,13.60927532,0.00450195
1.10E-05,9.10E-05,1.10E-05,7.36E-06,22.6774,8.07E+06,592474,0.8,5.72E-05,9.52E-06,4.36E-04,0.000481768,8.24E-05,2.20E+01,1.82E+02,2.20E+01,1.65E+02,1.47E+01,13.61037214,0.000512695
1.10E-05,1.10E-05,8.10E-05,7.01E-05,22.7067,7.78E+06,554016,0.8,6.50E-05,9.69E-06,4.21E-04,0.000168976,2.74E-05,2.20E+01,2.20E+01,1.62E+02,5.48E+01,1.40E+02,13.65636136,0.000488281
3.10E-05,0.0001,1.10E-05,6.71E-06,22.7518,8.55E+06,615657,0.8,5.58E-05,9.63E-06,4.62E-04,0.000507993,9.09E-05,6.20E+01,2.00E+02,2.20E+01,1.82E+02,1.34E+01,13.72745409,0.000478516
1.00E-06,9.10E-05,2.10E-05,1.40E-05,22.8055,7.69E+06,557581,1.6,6.60E-05,1.10E-05,4.16E-04,0.000518075,7.30E-05,2.00E+00,1.82E+02,4.20E+01,1.46E+02,2.80E+01,13.81258616,0.00348633
4.10E-05,3.10E-05,0.0001,5.69E-05,22.8131,2.24E+07,1.54E+06,1.6,6.76E-05,1.20E-05,1.21E-03,0.000315208,1.19E-04,8.20E+01,6.20E+01,2.00E+02,2.38E+02,1.14E+02,13.82467722,0.000488281
7.10E-05,2.10E-05,1.10E-05,3.05E-05,22.8195,4.03E+07,3.13E+06,1.6,0.000155045,1.14E-05,2.18E-03,0.00025352,1.81E-04,1.42E+02,4.20E+01,2.20E+01,3.62E+02,6.10E+01,13.83486737,0.000488281
7.10E-05,3.10E-05,1.10E-05,2.10E-05,22.8562,3.10E+07,2.32E+06,1.6,0.000119499,1.14E-05,1.68E-03,0.000308107,1.69E-04,1.42E+02,6.20E+01,2.20E+01,3.38E+02,4.20E+01,13.89344672,0.0044873
